JSON_file,title,author,title_verified,author_verified,isbn
pg_4051.json,COLLECTED POEMS,"Tate, Allen","Collected Poems, 1919-1976",Allen Tate,9780374530952
pg_1742.json,,Gaston Diehl,,Gaston Diehl,ISBN Not Found
pg_4067.json,MURDER IN THE CATHEDRAL,"Eliot, TS",MURDER IN THE CATHEDRAL,Eliot,9780694508761
pg_1757.json,PAINTING OF CHAS. & WM.,David Larkin,PAINTING OF CHAS. & WM.,David Larkin,ISBN Not Found
pg_1772.json,,VRUB,,VRUB,ISBN Not Found
pg_4096.json,STICKS AND BONES,"Rabe, David",Sticks and bones,David Rabe,9780573615832
pg_1787.json,,Pelican,,Pelican,ISBN Not Found
pg_4111.json,Lippencott,"Williams, W. C.",Lippencott,Williams,ISBN Not Found
pg_4126.json,Hokuseido,1537 BUDDHISM,Hokuseido,1537 BUDDHISM,ISBN Not Found
pg_4017.json,of Washington,Daedalus,of Washington,Daedalus,0665293690
pg_1708.json,,David Larkin,,David Larkin,ISBN Not Found
pg_4032.json,,Kramer,,Kramer,ISBN Not Found
pg_1722.json,,GRUNEWALD,,GRUNEWALD,ISBN Not Found
pg_1737.json,THOMAS NAST CARTOONS,Thomas Nast St Hill,THOMAS NAST CARTOONS,Thomas Nast St Hill,9798739173737
pg_4063.json,THE SHADOW BOX,"Cristofer, Michael",The shadow box,Michael Cristofer,091048290X
pg_1753.json,REMBRANDT DRAWINGS,,REMBRANDT DRAWINGS,,1520618050
pg_1768.json,,"Clark, Kenneth",,Kenneth,ISBN Not Found
pg_4092.json,THREE PLAYS,"Neill, E.",THREE PLAYS,Neill,9780548017173
pg_1784.json,,"Clork, Kenneth",,Kenneth,ISBN Not Found
pg_4107.json,THE ROMAN SPRING OF MRS. STONE,"Williams, Tennessee",The Roman spring of Mrs. Stone,Tennessee Williams,9780140029765
pg_1798.json,Little Brown,Fub: M.Y. Graphic,Little Brown,Fub: M.Y. Graphic,9780321067685
pg_4122.json,BUDDHIST MAHAYANA TEXTS,"Cowell, E.B. ed",BUDDHIST MAHAYANA TEXTS,E.B. ed,9781306421522
pg_4013.json,THE DREAM OF A COMMON LANGUAGE,"Rich, Adrienne",The dream of a common language,Adrienne Rich,9780393045024
pg_4137.json,THERAVADA BUDDHISM IN SOUTHEAST ASIA,"Lester, Robert C.",Theravada Buddhism in Southeast Asia,Robert C. Lester,0472570005
pg_1704.json,DETMOLD,Peacock/Bantam,DETMOLD,Peacock/Bantam,ISBN Not Found
pg_4028.json,,HONEY AND SALT,,HONEY AND SALT,ISBN Not Found
pg_1719.json,THE KATE GREENAWAY BOOK,"Holme, Brian",THE KATE GREENAWAY BOOK,Not Found,0670411833
pg_4043.json,New Directions,"Snyder, Gary",New Directions,Snyder,197550173X
pg_1734.json,,"Noel,",,Noel,ISBN Not Found
pg_4058.json,PICTURES FROM BRUEGHEL & OTHER POEMS,"Williams, William Carlos","Pictures from Brueghel, and other poems",William Carlos Williams,0811202348
pg_1749.json,,"Pyle, H",,Pyle,ISBN Not Found
pg_4073.json,Fantasticks,"Jones, Tom",Fantasticks,Harvey Schmidt,1557830746
pg_4088.json,"ANNA CHRISTIE, EMPEROR JONES HAIRY APE","O'Neill, Eugene","Emperor Jones, Anna Christie, the Hairy Ape",Eugene O'Neill,ISBN Not Found
pg_1778.json,Excalibur,,Excalibur,,8804452463
pg_4103.json,New Directions,"Williams, Tennessee","CAMINO REAL, A New Directions Book;",Tennessee Williams,ISBN Not Found
pg_1794.json,BLACK DEATH,"Meiss, Millard",Painting in Florence and Siena after the Black Death,Millard Meiss,9780691003122
pg_4118.json,BUDDHIST SCRIPTURES,"Conze, Edward",Buddhist scriptures,Edward Conze,0140440887
pg_4009.json,Black Sparrow Press,"Reznikoff, Charles",Black Sparrow Press,Reznikoff,1551953870
pg_4133.json,PUNDARIKA or THE LOTUS OF THE TRUE LAW,SADDHARMA-,PUNDARIKA or THE LOTUS OF THE TRUE LAW,SADDHARMA-,9781016391146
pg_1700.json,WESTERN PAINTINGS OF JOHN CLYMER,"Clymer, J.",WESTERN PAINTINGS OF JOHN CLYMER,Clymer,9780553010527
pg_4025.json,New Directions,"Rothenberg, Jerome","Poland, 1931 (New Directions Book)",Jerome Rothenberg,0811205428
pg_1715.json,,Betty Ballantine,,Betty Ballantine,ISBN Not Found
pg_4039.json,New Directions,"Snyder, Gary",New Directions,Snyder,197550173X
pg_4054.json,COLLECTED POEMS OF HENRY THOREAU,"Thoreau, Henry",Collected poems of Henry Thoreau,Henry David Thoreau,ISBN Not Found
pg_4069.json,COLLECTED PLAYS,: L. Bogigian,COLLECTED PLAYS,: L. Bogigian,0405084579
pg_1760.json,NORMAN 60 YEARS RETROSPECTIVE,Thomas Buechner,NORMAN 60 YEARS RETROSPECTIVE,Thomas Buechner,ISBN Not Found
pg_4084.json,THE PORTABLE ARTHUR MILLER,"Miller, Arthur",The Portable Arthur Miller,Arthur Miller,0140150714
pg_1775.json,ael Schnessel,S. Mich,ael Schnessel,S. Mich,ISBN Not Found
pg_4099.json,fiction drama,"Wilder, Thornton",fiction drama,Thornton,0205688497
pg_1790.json,SHOCK OF THE NEW,"Hughes, Robert",Shock of the New,Robert Hughes,0394328000
pg_4114.json,Random House,"Blofeld, tr",Random House,Blofeld,9780517336779
pg_4005.json,THE BREATHERS,"Reiss, James",The Breathers,James Reiss,0665532733
pg_4129.json,THE AWAKENING OF FATTH,Columbia nonreturnable,THE AWAKENING OF FATTH,Columbia nonreturnable,ISBN Not Found
pg_4020.json,of Washington,Daedalus,of Washington,Daedalus,0665293690
pg_4144.json,Random House,"Mitchell, ed",Random House,Mitchell,9780517336779
pg_1710.json,LIFE & ART OF A. DURER,"Panofsky, Erwin",The life and art of Albrecht Dürer,Erwin Panofsky,0691122768
pg_4035.json,DEATH NOTEBOOKS,Daedalus,DEATH NOTEBOOKS,Daedalus,0395182816
pg_1726.json,WINSLOW HOMER'S MAGAZINE ENGRAVINGS,"Beam, Philip",Winslow Homer's Magazine Engravings,Philip Beam,0064303810
pg_4050.json,THE PALM AT THE BACK OF THE MIND,"Stevens, Wallace",THE PALM AT THE BACK OF THE MIND,Wallace,ISBN Not Found
pg_1741.json,,"Watson, Guptill",,Guptill,ISBN Not Found
pg_4065.json,THE CONFIDENTIAL CLERK,"Eliot, TS",THE CONFIDENTIAL CLERK,Eliot,0156220156
pg_4081.json,AFTER THE FALL,Spurce,AFTER THE FALL,Spurce,9780141189994
pg_1771.json,Control Data Arts,Follett Publishing,Control Data Arts,Follett Publishing,ISBN Not Found
pg_4095.json,- Avon,"Simon, Neil",- Avon,Simon,0836952634
pg_4110.json,27WAGONS FULL OF COTTON,"Williams, Tennessee","27 Wagons Full of Cotton, and Other One Act Plays",Tennessee Williams,ISBN Not Found
pg_4001.json,EZRA POUND: THE LAST ROWER,Daedalus,EZRA POUND: THE LAST ROWER,Daedalus,9780670303915
pg_4125.json,TIBET'S GREAT YOGI MILAREPA,"Evans-Wentz, W.Y.",Tibet's Great Yogi Milarepa,W. Y. Evans-Wentz,9780195003017
